Implementation,threads,num_darts,arrows,time,pi
Serial,1,100000000,78539790,2.091534,3.141592
OpenMp,2,100000000,78537319,1.001770,3.141493
Pthreads,2,100000000,78537319,1.081786,3.141493
OpenMp,4,100000000,78533591,0.627631,3.141344
Pthreads,4,100000000,78533591,1.374306,3.141344
OpenMp,6,100000000,78539358,0.394725,3.141574
Pthreads,6,100000000,78539357,1.377745,3.141574
OpenMp,8,100000000,78538811,0.329464,3.141552
Pthreads,8,100000000,78538811,1.380675,3.141552
Serial,1,200000000,157079415,4.393280,3.141588
OpenMp,2,200000000,157080085,2.064896,3.141602
Pthreads,2,200000000,157077316,2.016277,3.141546
OpenMp,4,200000000,157077580,1.123322,3.141552
Pthreads,4,200000000,157077580,2.607182,3.141552
OpenMp,6,200000000,157073621,0.808332,3.141472
Pthreads,6,200000000,157079499,2.696032,3.141590
OpenMp,8,200000000,157078684,0.666423,3.141574
Pthreads,8,200000000,157078684,2.748736,3.141574
Serial,1,300000000,235619371,7.082360,3.141592
OpenMp,2,300000000,235620417,3.556987,3.141606
Pthreads,2,300000000,235621401,4.054038,3.141619
OpenMp,4,300000000,235614812,1.869198,3.141531
Pthreads,4,300000000,235614812,4.189411,3.141531
OpenMp,6,300000000,235621146,1.440974,3.141615
Pthreads,6,300000000,235619500,4.196997,3.141593
OpenMp,8,300000000,235627438,1.192916,3.141699
Pthreads,8,300000000,235627438,4.249096,3.141699
Serial,1,400000000,314159244,9.065876,3.141592
OpenMp,2,400000000,314158518,4.335402,3.141585
Pthreads,2,400000000,314158922,4.591178,3.141589
OpenMp,4,400000000,314167222,2.461410,3.141672
Pthreads,4,400000000,314167222,5.538463,3.141672
OpenMp,6,400000000,314159510,1.760506,3.141595
Pthreads,6,400000000,314159534,5.628554,3.141595
OpenMp,8,400000000,314164645,1.575692,3.141646
Pthreads,8,400000000,314164645,5.730430,3.141646
Serial,1,500000000,392698976,11.340996,3.141592
OpenMp,2,500000000,392700551,5.030299,3.141604
Pthreads,2,500000000,392698610,5.015413,3.141589
OpenMp,4,500000000,392695595,2.798274,3.141565
Pthreads,4,500000000,392695595,6.508772,3.141565
OpenMp,6,500000000,392694365,1.981622,3.141555
Pthreads,6,500000000,392697959,6.609283,3.141584
OpenMp,8,500000000,392699271,1.692133,3.141594
Pthreads,8,500000000,392700137,6.671999,3.141601
Serial,1,600000000,471238704,12.367839,3.141591
OpenMp,2,600000000,471233347,6.028057,3.141556
Pthreads,2,600000000,471240965,6.131993,3.141606
OpenMp,4,600000000,471233781,3.301245,3.141559
Pthreads,4,600000000,471235147,7.760897,3.141568
OpenMp,6,600000000,471238952,2.397974,3.141593
Pthreads,6,600000000,471236530,7.936706,3.141577
OpenMp,8,600000000,471238476,1.919579,3.141590
Pthreads,8,600000000,471238476,8.051195,3.141590
Serial,1,700000000,549778681,14.396954,3.141592
OpenMp,2,700000000,549778261,6.924275,3.141590
Pthreads,2,700000000,549781083,7.088265,3.141606
OpenMp,4,700000000,549779069,3.891914,3.141595
Pthreads,4,700000000,549774671,9.044228,3.141570
OpenMp,6,700000000,549785279,2.727406,3.141630
Pthreads,6,700000000,549781830,9.291808,3.141610
OpenMp,8,700000000,549779806,2.247246,3.141599
Pthreads,8,700000000,549779806,9.364967,3.141599
Serial,1,800000000,628318570,16.573224,3.141593
OpenMp,2,800000000,628319104,7.776887,3.141596
Pthreads,2,800000000,628318322,8.066549,3.141592
OpenMp,4,800000000,628318752,4.623070,3.141594
Pthreads,4,800000000,628319547,10.477253,3.141598
OpenMp,6,800000000,628318364,3.123481,3.141592
Pthreads,6,800000000,628318631,10.641594,3.141593
OpenMp,8,800000000,628322885,2.552616,3.141614
Pthreads,8,800000000,628325360,10.699199,3.141627
Serial,1,900000000,706858282,18.215669,3.141592
OpenMp,2,900000000,706858399,8.815806,3.141593
Pthreads,2,900000000,706858322,9.185828,3.141593
OpenMp,4,900000000,706858663,4.967868,3.141594
Pthreads,4,900000000,706855901,11.702410,3.141582
OpenMp,6,900000000,706858930,3.522994,3.141595
Pthreads,6,900000000,706856859,12.140411,3.141586
OpenMp,8,900000000,706851531,2.856787,3.141562
Pthreads,8,900000000,706854752,12.192753,3.141577
Serial,1,1000000000,785398045,20.542048,3.141592
OpenMp,2,1000000000,785401568,9.817469,3.141606
Pthreads,2,1000000000,785399289,10.098902,3.141597
OpenMp,4,1000000000,785399388,5.467509,3.141598
Pthreads,4,1000000000,785401176,13.131824,3.141605
OpenMp,6,1000000000,785397549,3.981579,3.141590
Pthreads,6,1000000000,785399921,13.275920,3.141600
OpenMp,8,1000000000,785398203,3.131485,3.141593
Pthreads,8,1000000000,785398203,13.386479,3.141593
