lock,threads,iterations,time
Mutex,2,100000000,6.840602
Atomic,2,100000000,1.199012
Mutex,4,100000000,5.811207
Atomic,4,100000000,1.285395
Mutex,6,100000000,6.529889
Atomic,6,100000000,1.215960
Mutex,8,100000000,6.946317
Atomic,8,100000000,1.235112
Mutex,2,200000000,12.589596
Atomic,2,200000000,2.491045
Mutex,4,200000000,12.051355
Atomic,4,200000000,2.649253
Mutex,6,200000000,12.874399
Atomic,6,200000000,2.503226
Mutex,8,200000000,14.625334
Atomic,8,200000000,2.715095
Mutex,2,300000000,20.264242
Atomic,2,300000000,3.921321
Mutex,4,300000000,17.957042
Atomic,4,300000000,3.876310
Mutex,6,300000000,19.427079
Atomic,6,300000000,3.758121
Mutex,8,300000000,21.596561
Atomic,8,300000000,3.767432
Mutex,2,400000000,25.911491
Atomic,2,400000000,4.687163
Mutex,4,400000000,23.314971
Atomic,4,400000000,5.521513
Mutex,6,400000000,25.799418
Atomic,6,400000000,5.074029
Mutex,8,400000000,28.611857
Atomic,8,400000000,4.949739
Mutex,2,500000000,31.198788
Atomic,2,500000000,6.323243
Mutex,4,500000000,29.506067
Atomic,4,500000000,6.911749
Mutex,6,500000000,32.831775
Atomic,6,500000000,6.560770
Mutex,8,500000000,35.415572
Atomic,8,500000000,6.307727
