Threads,Type,Schedule,Chunk,Time
2,Baseline,Full,,2.912229e-03
2,Baseline,Upper,,5.507348e-03
2,Schedule,Static,1,2.010640e-03
2,Schedule,Static,4,1.631598e-03
2,Schedule,Static,7,2.103474e-03
2,Schedule,Dynamic,1,4.358951e-03
2,Schedule,Dynamic,4,3.571295e-03
2,Schedule,Dynamic,7,2.360285e-03
2,Schedule,Guided,1,2.543912e-03
2,Schedule,Guided,4,2.137006e-03
2,Schedule,Guided,7,2.130431e-03
4,Baseline,Full,,2.911177e-03
4,Baseline,Upper,,3.275732e-03
4,Schedule,Static,1,2.913857e-03
4,Schedule,Static,4,1.493980e-03
4,Schedule,Static,7,2.276493e-03
4,Schedule,Dynamic,1,3.244603e-03
4,Schedule,Dynamic,4,2.118531e-03
4,Schedule,Dynamic,7,1.403080e-03
4,Schedule,Guided,1,1.380528e-03
4,Schedule,Guided,4,2.084767e-03
4,Schedule,Guided,7,1.573379e-03
6,Baseline,Full,,3.581471e-03
6,Baseline,Upper,,3.290901e-03
6,Schedule,Static,1,9.430880e-04
6,Schedule,Static,4,9.868000e-04
6,Schedule,Static,7,8.811020e-04
6,Schedule,Dynamic,1,3.022487e-03
6,Schedule,Dynamic,4,1.452523e-03
6,Schedule,Dynamic,7,1.258088e-03
6,Schedule,Guided,1,1.531430e-03
6,Schedule,Guided,4,1.565967e-03
6,Schedule,Guided,7,1.910474e-03
8,Baseline,Full,,6.762698e-03
8,Baseline,Upper,,3.299155e-03
8,Schedule,Static,1,1.385167e-03
8,Schedule,Static,4,1.207784e-03
8,Schedule,Static,7,1.545993e-03
8,Schedule,Dynamic,1,3.671171e-03
8,Schedule,Dynamic,4,2.569400e-03
8,Schedule,Dynamic,7,1.803773e-03
8,Schedule,Guided,1,1.434485e-03
8,Schedule,Guided,4,1.015192e-03
8,Schedule,Guided,7,1.401778e-03
