n,threads,row_or_col,time
10000,serial,row wise,0.309495
10000,serial,column wise,1.990759
10000,2,row wise,0.155722
10000,2,column wise,1.184525
10000,4,row wise,0.089688
10000,4,column wise,0.785291
10000,6,row wise,0.131551
10000,6,column wise,0.497950
10000,8,row wise,0.212096
10000,8,column wise,0.955193
11000,serial,row wise,0.365812
11000,serial,column wise,3.120479
11000,2,row wise,0.188065
11000,2,column wise,1.688789
11000,4,row wise,0.124547
11000,4,column wise,0.907986
11000,6,row wise,0.208817
11000,6,column wise,0.619821
11000,8,row wise,0.236542
11000,8,column wise,0.832413
12000,serial,row wise,0.511877
12000,serial,column wise,3.759917
12000,2,row wise,0.218294
12000,2,column wise,1.999691
12000,4,row wise,0.170848
12000,4,column wise,1.132678
12000,6,row wise,0.136000
12000,6,column wise,0.671765
12000,8,row wise,0.359232
12000,8,column wise,0.675715
13000,serial,row wise,0.369019
13000,serial,column wise,4.898661
13000,2,row wise,0.208815
13000,2,column wise,2.202833
13000,4,row wise,0.177884
13000,4,column wise,1.500425
13000,6,row wise,0.205351
13000,6,column wise,0.941035
13000,8,row wise,0.441740
13000,8,column wise,0.748268
14000,serial,row wise,0.524552
14000,serial,column wise,5.811857
14000,2,row wise,0.245484
14000,2,column wise,2.904363
14000,4,row wise,0.203274
14000,4,column wise,1.772960
14000,6,row wise,0.209691
14000,6,column wise,1.119938
14000,8,row wise,0.278739
14000,8,column wise,0.849880
15000,serial,row wise,0.468256
15000,serial,column wise,8.006615
15000,2,row wise,0.243484
15000,2,column wise,3.821208
15000,4,row wise,0.299761
15000,4,column wise,2.366603
15000,6,row wise,0.299569
15000,6,column wise,1.583563
15000,8,row wise,0.214892
15000,8,column wise,1.433633
16000,serial,row wise,0.451812
16000,serial,column wise,9.448683
16000,2,row wise,0.507979
16000,2,column wise,4.758748
16000,4,row wise,0.258421
16000,4,column wise,2.849717
16000,6,row wise,0.269665
16000,6,column wise,1.648973
16000,8,row wise,0.372798
16000,8,column wise,1.523624
17000,serial,row wise,0.696023
17000,serial,column wise,9.719803
17000,2,row wise,0.402698
17000,2,column wise,6.336911
17000,4,row wise,0.345905
17000,4,column wise,4.423191
17000,6,row wise,0.423718
17000,6,column wise,2.903941
17000,8,row wise,0.790042
17000,8,column wise,3.681806
18000,serial,row wise,1.005654
18000,serial,column wise,12.506899
18000,2,row wise,0.474125
18000,2,column wise,7.042250
18000,4,row wise,0.392186
18000,4,column wise,3.997485
18000,6,row wise,0.444640
18000,6,column wise,3.043725
18000,8,row wise,1.035949
18000,8,column wise,4.205623
19000,serial,row wise,0.819635
19000,serial,column wise,13.912403
19000,2,row wise,0.496564
19000,2,column wise,7.343933
19000,4,row wise,0.318349
19000,4,column wise,7.146194
19000,6,row wise,0.685713
19000,6,column wise,3.420728
19000,8,row wise,0.361782
19000,8,column wise,3.516740
20000,serial,row wise,1.087326
20000,serial,column wise,15.506968
20000,2,row wise,0.538483
20000,2,column wise,8.477437
20000,4,row wise,0.417422
20000,4,column wise,5.257859
20000,6,row wise,0.574027
20000,6,column wise,4.237337
20000,8,row wise,0.380151
20000,8,column wise,3.917893
