n,threads,time
10000000,serial,4.365701
10000000,2,2.390866
10000000,4,2.367178
10000000,6,2.036317
10000000,8,2.035644
20000000,serial,7.611538
20000000,2,5.036337
20000000,4,4.230497
20000000,6,3.493445
20000000,8,3.412684
30000000,serial,10.187732
30000000,2,7.677263
30000000,4,6.503612
30000000,6,5.589498
30000000,8,5.131269
40000000,serial,14.258331
40000000,2,10.584529
40000000,4,8.728762
40000000,6,8.026326
40000000,8,7.206092
50000000,serial,17.085472
50000000,2,12.793472
50000000,4,10.978886
50000000,6,8.946389
50000000,8,8.820505
60000000,serial,21.074563
60000000,2,15.579987
60000000,4,13.002448
60000000,6,10.891920
60000000,8,10.806206
70000000,serial,25.100909
70000000,2,18.821286
70000000,4,15.918889
70000000,6,14.682999
70000000,8,12.727526
80000000,serial,28.633506
80000000,2,21.094879
80000000,4,18.897460
80000000,6,14.233626
80000000,8,13.887866
90000000,serial,33.228642
90000000,2,25.141295
90000000,4,22.734369
90000000,6,17.635590
90000000,8,16.236592
100000000,serial,36.296963
100000000,2,27.537931
100000000,4,23.690520
100000000,6,18.460127
100000000,8,18.358383
